"filename", "language", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\ServiceBadge.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\atoms\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\helpers\companyFormHelpers.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 17, 9, 83
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\helpers\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesPageLogic.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 24, 25, 209
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesTableColumns.tsx", "TypeScript JSX", 0, 0, 0, 103, 0, 0, 0, 4, 107
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompaniesTableLogic.ts", "TypeScript", 0, 163, 0, 0, 0, 0, 0, 16, 179
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyContactModal.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 4, 9, 63
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyCreateModal.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 4, 11, 84
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyEditModal.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 5, 9, 92
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyModal.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 8, 64
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyModalSection.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyMutations.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 6, 78
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyServiceContextMenu.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 8, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCompanyServices.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 4, 7, 54
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useCreateCompanyController.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 15, 88
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useDeleteCompanyController.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 10, 51
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useInstantCompanies.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 4, 8, 57
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useManageServices.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 20, 175
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useManageServicesModal.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\hooks\useUpdateCompanyController.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 7, 58
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompaniesPageActions.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompaniesToolbar.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 7, 78
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\CompanyForm.tsx", "TypeScript JSX", 0, 0, 0, 94, 0, 0, 0, 11, 105
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\EmptyCompaniesState.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ErrorAlert.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ServiceFormView.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\ServicesListView.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 4, 89
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyBasicFields.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyCheckboxField.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyContactsSelector.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 9, 124
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\CompanyTypeFields.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 3, 52
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\companyTypeOptions.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\form\useCompanyFormHandlers.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 9, 62
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\molecules\index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompaniesTable.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 10, 103
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompaniesTableSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\CompanyModal.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 3, 70
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\ManageServicesModal.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 8, 127
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\organisms\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\CompaniesPage.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 16, 4, 27
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\CompaniesPageView.tsx", "TypeScript JSX", 0, 0, 0, 151, 0, 0, 8, 8, 167
"c:\Users\david\Downloads\marosProject\maros-next\src\features\company\presentation\pages\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\context.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\keys\contactsKeys.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\createContact.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\deleteContact.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\commands\patchContact.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\getContactById.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\listContacts.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\application\usecases\queries\validateContactUniqueness.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\ContactRole.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 22, 23, 163
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactDraft.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactFormValue.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\mappers\toContactPatch.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 13, 7, 61
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\models.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 14, 117
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\ports.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 5, 4, 28
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\applyContactPatch.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 11, 122
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\buildContactDraft.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactIdentityPolicy.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactMergePolicy.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 9, 55
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactQueries.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactReadMapper.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 8, 84
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactUniquenessPolicy.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 11, 77
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactValidation.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 10, 94
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\ensureContactDraftIntegrity.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\ensureContactIntegrity.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 6, 71
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\index.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\mapContactDTO.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 9, 57
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 4, 4, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\ContactHttpRepository.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\ContactUniquenessHttpService.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\endpoints.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\mappers.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 17, 132
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\CompanyCell.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\ContactInfoDisplay.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactModal.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactMutations.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 7, 64
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsApplication.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 9, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsPageLogic.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 27, 26, 201
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsTableColumns.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 0, 0, 4, 130
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsTableLogic.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 0, 14, 172
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useInstantContacts.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 4, 8, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 178, 0, 0, 1, 7, 186
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\ContactsToolbar.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\CompanyDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\ContactsTable.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 11, 111
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\ContactsTableSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 4, 62
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\organisms\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\ContactsPage.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 17, 4, 28
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\ContactsPageView.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 6, 7, 140
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\pages\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\search\contactsSearchConfig.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
