"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactUniquenessPolicy.ts", "TypeScript", 66, 0, 0, 0, 11, 77
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\contactValidation.ts", "TypeScript", 84, 0, 0, 0, 10, 94
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\ensureContactDraftIntegrity.ts", "TypeScript", 54, 0, 0, 0, 5, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\ensureContactIntegrity.ts", "TypeScript", 65, 0, 0, 0, 6, 71
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\index.ts", "TypeScript", 31, 0, 0, 0, 1, 32
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\domain\services\mapContactDTO.ts", "TypeScript", 48, 0, 0, 0, 9, 57
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\index.ts", "TypeScript", 10, 0, 0, 4, 4, 18
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\ContactHttpRepository.ts", "TypeScript", 59, 0, 0, 0, 12, 71
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\ContactUniquenessHttpService.ts", "TypeScript", 44, 0, 0, 0, 6, 50
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\endpoints.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\http\mappers.ts", "TypeScript", 115, 0, 0, 0, 17, 132
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\infra\index.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\CompanyCell.tsx", "TypeScript JSX", 0, 0, 22, 0, 4, 26
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\ContactInfoDisplay.tsx", "TypeScript JSX", 0, 0, 46, 0, 6, 52
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\atoms\index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\index.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactModal.ts", "TypeScript", 52, 0, 0, 0, 7, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactMutations.ts", "TypeScript", 57, 0, 0, 0, 7, 64
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsApplication.ts", "TypeScript", 65, 0, 0, 0, 9, 74
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsPageLogic.ts", "TypeScript", 148, 0, 0, 27, 26, 201
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsTableColumns.tsx", "TypeScript JSX", 0, 0, 126, 0, 4, 130
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useContactsTableLogic.ts", "TypeScript", 158, 0, 0, 0, 14, 172
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\hooks\useInstantContacts.ts", "TypeScript", 47, 0, 0, 4, 8, 59
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\index.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\ContactForm.tsx", "TypeScript JSX", 0, 0, 178, 1, 7, 186
"c:\Users\david\Downloads\marosProject\maros-next\src\features\contact\presentation\molecules\ContactsToolbar.tsx", "TypeScript JSX", 0, 0, 53, 0, 7, 60
